the_geom,cartodb_id,pname,date,year,longitude,latitude,state,county,cnumber
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,389,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000646/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,390,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000647/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,391,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000648/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,392,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000649/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,393,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000650/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,394,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000651/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,395,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000652/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,396,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000653/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,397,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000654/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,398,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000655/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,399,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000656/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,400,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000657/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,401,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000658/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,402,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000659/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,403,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000660/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,404,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000661/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,405,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000662/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,406,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000663/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,407,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000664/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,408,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000665/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,409,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000666/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,410,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000667/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,411,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000668/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,412,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000669/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,413,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000670/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,414,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000671/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,415,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000672/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,416,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000673/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,417,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000674/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,418,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000675/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,419,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000676/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,420,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000677/PP
0101000020E6100000224CF6749AE955C0A9C29FE1CDEC4440,421,Jack Delano,1942-12-01 00:00:00+00,1942,-87.6500523,41.850033,Illinois,Cook County,fsa1992000678/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,422,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000679/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,423,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000680/PP
0101000020E6100000F2446BA0D4F655C00C5C1E6B46F34440,424,Jack Delano,1942-12-01 00:00:00+00,1942,-87.8567277,41.9005865,Illinois,Cook County,fsa1992000681/PP
